,word,allMoviesCount,%used,actionCount,scifiCount,horrorCount,comedyCount,dramaCount,fantasyCount,thrillerCount,actionRelativeUsage,scifiRelativeUsage,horrorRelativeUsage,comedyRelativeUsage,dramaRelativeUsage,fantasyRelativeUsage,thrillerRelativeUsage
20,kiss,610,0.2814951545916013,202.0,124.0,45.0,219.0,230.0,126.0,180.0,0.9942597402597402,1.0079708714439253,0.5515726179463459,1.098138919514884,1.167455357142857,1.140391304347826,0.8653699788583509
21,slow motion scene,606,0.2796492847254269,310.0,151.0,72.0,161.0,186.0,113.0,244.0,1.520906148867314,1.13250763968996,0.8188841201716738,0.6805092936802973,0.8048791627021884,0.909903811439476,1.1175347432024167
22,punched in the face,605,0.27918781725888325,354.0,164.0,59.0,162.0,157.0,79.0,277.0,1.7928641425389755,1.2277472527472526,0.6552808046940486,0.6759412844036697,0.6520876712328768,0.6095543447372648,1.2920984615384616
23,blood splatter,603,0.27826488232579605,310.0,127.0,155.0,78.0,191.0,58.0,346.0,1.4763141361256544,0.9089824059947083,1.8502252252252251,0.2988576242628475,0.8088156424581006,0.43491468847183706,1.7123046789989118
24,mother son relationship,599,0.2764190124596216,151.0,116.0,82.0,188.0,278.0,106.0,176.0,0.7259492600422833,0.963125763125763,1.0704433497536947,0.9406204620462046,1.5437655677655677,0.9680896181576215,0.8691074918566776
25,knife,598,0.275957544993078,336.0,150.0,118.0,97.0,168.0,104.0,292.0,1.6449171151776105,1.0957473020253288,1.3631211857018308,0.37770205479452057,0.696503190519599,0.8107453594477525,1.3648674203494346
26,photograph,584,0.26949700046146746,187.0,123.0,103.0,150.0,221.0,60.0,259.0,0.9284672489082969,1.0222875084099574,1.3647500000000001,0.7158447009443861,1.1395782312925171,0.520655300345992,1.3956540284360188
27,falling from height,584,0.26949700046146746,377.0,206.0,91.0,132.0,93.0,143.0,235.0,1.9051066666666667,1.566649223792081,1.0166526138279934,0.5243109170305676,0.3572331081081081,1.1413171280321037,1.025700575815739
28,deception,583,0.26903553299492383,323.0,162.0,67.0,132.0,160.0,101.0,292.0,1.607225382932166,1.227440838231536,0.7587606837606837,0.5432904977375566,0.6756545961002786,0.8046859052867933,1.4053079365079364
29,father daughter relationship,580,0.26765113059529305,180.0,103.0,78.0,185.0,241.0,117.0,199.0,0.8869339111592632,0.8389406593406593,1.0082926829268295,0.9165359477124183,1.27154060324826,1.0739703677572976,1.0011637168141592
30,rescue,578,0.2667281956622058,358.0,200.0,67.0,128.0,129.0,151.0,225.0,1.8090933333333332,1.5397079291219178,0.7453820319059613,0.5151716814159292,0.5196563330380868,1.2345613552753885,0.9906098741529527
31,fire,577,0.2662667281956622,282.0,161.0,95.0,116.0,167.0,145.0,211.0,1.4330011173184356,1.2907026044821321,1.1633548983364141,0.49723656927426957,0.7519960396039606,1.271661891922256,0.9934037267080745
32,shootout,571,0.26349792339640055,433.0,167.0,39.0,98.0,138.0,59.0,340.0,2.341598097502973,1.2287481263091018,0.4184210526315789,0.379,0.5524859154929578,0.4395002087433649,1.6555888650963595
33,cult film,569,0.26257498846331334,211.0,134.0,87.0,195.0,141.0,98.0,204.0,1.1171455180442376,1.1660655583732507,1.1726856561546288,1.0135542857142856,0.6902777179763186,0.912521619848512,1.0713533487297924
34,dog,565,0.2607291185971389,181.0,120.0,80.0,212.0,186.0,121.0,188.0,0.9075942668136714,1.0097175551721005,1.0515873015873014,1.1006575342465754,0.9378359201773837,1.1325105286033303,0.9500266666666666
35,escape,559,0.25796031379787726,338.0,187.0,70.0,107.0,147.0,119.0,252.0,1.7428843537414966,1.4744678361328893,0.8065217391304348,0.43722911051212937,0.623071761416589,0.9782345430372916,1.1839834710743802
36,betrayal,546,0.25196123673281035,308.0,140.0,52.0,97.0,172.0,113.0,262.0,1.675578947368421,1.135764633772602,0.6309523809523809,0.42135243553008594,0.80479012345679,0.9919804889020087,1.3509931972789115
37,bar,544,0.25103830179972314,212.0,102.0,36.0,186.0,204.0,60.0,205.0,1.215858764186633,0.9200394290095287,0.4922600619195046,1.0328791208791208,1.1582921348314608,0.5746491833448355,1.165425
38,fistfight,542,0.2501153668666359,401.0,176.0,37.0,120.0,110.0,84.0,263.0,2.3085417721518984,1.4123445027878525,0.42482668977469673,0.5095798319327731,0.4627937095282146,0.6867758532657791,1.2889267241379312
39,held at gunpoint,537,0.24780802953391787,359.0,163.0,73.0,92.0,115.0,53.0,303.0,2.0434693366708387,1.3343155337125185,0.8914746543778801,0.3925103189493433,0.501457334611697,0.4341071545675127,1.6117473684210528
40,machine gun,523,0.24134748500230735,405.0,181.0,47.0,94.0,124.0,49.0,304.0,2.3053066332916146,1.4411094282062025,0.5382454624027658,0.3851459459459459,0.5221777777777777,0.3839701361440492,1.5362133333333332
41,shot in the head,517,0.23857868020304568,308.0,128.0,91.0,60.0,157.0,50.0,303.0,1.7753916349809888,1.0759205706574129,1.198558648111332,0.2631436837029894,0.7596127659574469,0.4322218069570754,1.7355717884130983
42,character name in title,503,0.23211813567143516,206.0,117.0,38.0,187.0,157.0,150.0,118.0,1.221496740547588,1.1132843791722296,0.5385026737967914,1.082030534351145,0.8750441176470589,1.6495852924084737,0.6276771929824562
